iter	RMSE
1993	0.2068904774
1994	0.2067605552
1995	0.2066492803
1996	0.2065462186
1997	0.206429361
1998	0.2062988254
1999	0.2061558392
2000	0.206105027
2001	0.2060291897
2002	0.2058738917
2003	0.2057460206
2004	0.2056059518
2005	0.2054768826
2006	0.2052920475
2007	0.2052361194
2008	0.2050912302
2009	0.2049685396
2010	0.2048168637
2011	0.2047002602
2012	0.2046717927
2013	0.2045214663
2014	0.2043417473
2015	0.2042299737
2016	0.2041051606
2017	0.2040991854
2018	0.2039452942
2019	0.2038533637
2020	0.2036464634
2021	0.2035848121
2022	0.2035001542
2023	0.2033932886
2024	0.2033745993
2025	0.2032211418
2026	0.2031782992
2027	0.2030519726
2028	0.2030171211
2029	0.2029536985
2030	0.2028070524
2031	0.2026556548
2032	0.2024757681
2033	0.2023718828
2034	0.2022958018
2035	0.2022150542
2036	0.202084106
2037	0.2019739077
2038	0.2018559832
2039	0.2017575144
2040	0.201670085
2041	0.2015856361
2042	0.2015016633
2043	0.2013893802
2044	0.2013043534
2045	0.2011325204
2046	0.2009860856
2047	0.2008109137
2048	0.2007023605
2049	0.2005538096
2050	0.200432706
2051	0.200361483
2052	0.2002305246
2053	0.2001080325
2054	0.1999481458
2055	0.1998448751
2056	0.199762526
2057	0.199649484
2058	0.1995456136
2059	0.1994400323
2060	0.1993488367
2061	0.1991641422
2062	0.199026386
2063	0.1989733766
2064	0.1989246624
2065	0.1987221576
2066	0.1986548143
2067	0.1985188896
2068	0.1984556057
2069	0.1983946149
2070	0.198289595
2071	0.1981880988
2072	0.1980223516
2073	0.1979260387
2074	0.197800421
2075	0.1976353546
2076	0.1975866426
2077	0.1975245076
2078	0.1974581601
2079	0.1973412943
2080	0.1972005395
2081	0.197066025
2082	0.1969991273
2083	0.1968577976
2084	0.1967529625
2085	0.1965958331
2086	0.1965511592
2087	0.1964679873
2088	0.1963841348
2089	0.1962971567
2090	0.1962411922
2091	0.1961528126
2092	0.1960091204
2093	0.195917366
2094	0.1958034224
2095	0.1956322659
2096	0.1956142982
2097	0.1954768429
2098	0.1953795499
2099	0.1953112436
2100	0.195230637
2101	0.1951179014
2102	0.1950179496
2103	0.194870778
2104	0.1947915561
2105	0.1946700058
2106	0.1945631634
2107	0.194481016
2108	0.1943925802
2109	0.1942493684
2110	0.1941929556
2111	0.194147065
2112	0.1940473316
2113	0.1939425989
2114	0.1938670742
2115	0.1936852164
2116	0.1935299108
2117	0.1934005644
2118	0.1933103453
2119	0.193247175
2120	0.1931373134
2121	0.1929934487
2122	0.1928729662
2123	0.1927581479
2124	0.1925681446
2125	0.1924810041
2126	0.1923995286
2127	0.1922317737
2128	0.192136878
2129	0.1920104891
2130	0.1919136201
2131	0.1917717344
2132	0.1916998535
2133	0.1916268192
2134	0.1914861528
2135	0.1913729936
2136	0.1912515817
2137	0.1911490915
2138	0.1910066526
2139	0.1909619199
2140	0.1908898607
2141	0.1907722868
2142	0.1906669996
2143	0.1905331836
2144	0.1903756431
2145	0.1903379245
2146	0.1902089616
2147	0.190113483
2148	0.1900319519
2149	0.1898565085
2150	0.1897725148
2151	0.1896349219
2152	0.1895386408
2153	0.1894566157
2154	0.1894292401
2155	0.1893205328
2156	0.1891687257
2157	0.1890594284
2158	0.1889109662
2159	0.1887738897
2160	0.1886191063
2161	0.18850833
2162	0.1884067689
2163	0.1883206908
2164	0.1882161085
2165	0.1881235601
2166	0.1881133902
2167	0.188002044
2168	0.1878599878
2169	0.1877326024
2170	0.1876599195
2171	0.1875401728
2172	0.1874627252
2173	0.1874575355
2174	0.1873455208
2175	0.1872421849
2176	0.1871274387
2177	0.1870883026
2178	0.1870565077
2179	0.1869504294
2180	0.1868425814
2181	0.1867414897
2182	0.1867355761
2183	0.186650223
2184	0.1865448982
2185	0.1864544153
2186	0.186295993
2187	0.1862599341
2188	0.1861543635
2189	0.1860802523
2190	0.1859271834
2191	0.1858685924
2192	0.1857204761
2193	0.1856483434
2194	0.1856090501
2195	0.1854920557
2196	0.1853486106
2197	0.1851950425
2198	0.1851234552
2199	0.1850577716
2200	0.184930543
2201	0.1848554532
2202	0.184770002
2203	0.1846939814
2204	0.1845685532
2205	0.1844412461
2206	0.184326524
2207	0.1842817527
2208	0.1841539564
2209	0.1840821627
2210	0.1840042288
2211	0.1839251096
2212	0.1837970741
2213	0.1837083847
2214	0.1836131321
2215	0.1834909375
2216	0.1834189213
2217	0.1832849801
2218	0.183132816
2219	0.183112949
2220	0.1830181083
2221	0.1828823144
2222	0.1827433325
2223	0.1827378478
2224	0.1826296118
2225	0.1825704967
2226	0.1825012848
2227	0.1824244451
2228	0.1823419538
2229	0.1822430024
2230	0.182146942
2231	0.1820421482
2232	0.1819176519
2233	0.1818411588
2234	0.181724523
2235	0.1816615445
2236	0.1815726631
2237	0.181433841
2238	0.1813948548
2239	0.181313653
2240	0.1812004767
2241	0.1811054729
2242	0.1810104552
2243	0.180969088
2244	0.1808540399
2245	0.180736165
2246	0.1806390143
2247	0.1805417652
2248	0.1804909671
2249	0.1803937141
2250	0.1803523143
2251	0.1802238561
